project,description,tags,start,end,updated,duration,modified
project_3,description_8,None,2018-04-23T18:45:40-04:00,2018-04-23T19:36:02-04:00,2018-04-23T19:36:02-04:00,3022000,False
project_7,description_12,None,2018-04-23T15:01:24-04:00,2018-04-23T18:45:38-04:00,2018-04-23T18:45:38-04:00,13454000,False
project_3,description_8,None,2018-04-23T14:15:05-04:00,2018-04-23T15:01:07-04:00,2018-04-23T15:01:19-04:00,2762000,True
project_7,description_13,None,2018-04-23T12:13:11-04:00,2018-04-23T14:06:47-04:00,2018-04-23T14:06:48-04:00,6816000,True
project_7,description_14,None,2018-04-23T11:46:13-04:00,2018-04-23T12:13:06-04:00,2018-04-23T12:13:07-04:00,1613000,True
project_2,description_2,None,2018-04-23T11:38:57-04:00,2018-04-23T11:45:58-04:00,2018-04-23T11:46:11-04:00,421000,True
project_7,description_14,None,2018-04-23T11:25:34-04:00,2018-04-23T11:37:08-04:00,2018-04-23T11:37:11-04:00,694000,True
project_1,description_1,None,2018-04-23T10:54:36-04:00,2018-04-23T11:23:21-04:00,2018-04-23T11:23:21-04:00,1725000,False
project_6,description_6,None,2018-04-23T10:15:00-04:00,2018-04-23T10:49:00-04:00,2018-04-23T11:38:52-04:00,2040000,True
project_2,description_2,None,2018-04-23T09:29:00-04:00,2018-04-23T10:10:00-04:00,2018-04-23T11:38:31-04:00,2460000,True
project_3,description_7,None,2018-04-23T08:59:05-04:00,2018-04-23T09:14:21-04:00,2018-04-23T09:14:22-04:00,916000,True
project_3,description_3,None,2018-04-23T01:21:59-04:00,2018-04-23T01:46:38-04:00,2018-04-23T01:46:39-04:00,1479000,True
project_7,description_14,None,2018-04-23T00:27:04-04:00,2018-04-23T11:25:33-04:00,2018-04-23T11:25:33-04:00,39509000,False
project_7,description_15,None,2018-04-22T23:38:39-04:00,2018-04-23T00:26:50-04:00,2018-04-23T00:26:50-04:00,2051000,False
project_4,description_4,None,2018-04-22T23:12:23-04:00,2018-04-22T23:37:25-04:00,2018-04-22T23:37:36-04:00,1502000,True
project_7,description_15,None,2018-04-22T21:09:38-04:00,2018-04-22T23:52:38-04:00,2018-04-22T23:52:38-04:00,9780000,False
project_7,description_16,None,2018-04-22T20:53:31-04:00,2018-04-22T21:09:36-04:00,2018-04-22T21:09:38-04:00,965000,True
project_1,description_1,None,2018-04-22T20:47:17-04:00,2018-04-22T20:53:30-04:00,2018-04-22T20:53:32-04:00,373000,True
project_7,description_16,None,2018-04-22T20:22:18-04:00,2018-04-22T20:47:15-04:00,2018-04-22T20:47:16-04:00,1497000,True
project_1,description_1,None,2018-04-22T19:43:42-04:00,2018-04-22T20:22:17-04:00,2018-04-22T20:22:18-04:00,2315000,True
project_7,description_16,None,2018-04-22T19:04:55-04:00,2018-04-22T19:43:40-04:00,2018-04-22T19:43:41-04:00,2325000,True
project_4,description_4,None,2018-04-22T18:17:48-04:00,2018-04-22T19:00:49-04:00,2018-04-22T19:01:02-04:00,2581000,True
project_7,description_17,None,2018-04-22T18:12:20-04:00,2018-04-22T18:16:13-04:00,2018-04-22T18:16:14-04:00,233000,True
project_7,description_18,None,2018-04-22T17:32:23-04:00,2018-04-22T18:12:17-04:00,2018-04-22T18:12:17-04:00,1434000,False
project_3,description_3,None,2018-04-22T16:45:44-04:00,2018-04-22T17:30:45-04:00,2018-04-22T17:48:07-04:00,2701000,True
project_6,description_19,None,2018-04-22T16:30:46-04:00,2018-04-22T16:40:47-04:00,2018-04-22T16:47:00-04:00,601000,True
project_2,description_2,None,2018-04-22T16:29:50-04:00,2018-04-22T16:39:26-04:00,2018-04-22T16:46:40-04:00,576000,True
project_2,description_2,None,2018-04-22T16:12:00-04:00,2018-04-22T16:29:40-04:00,2018-04-22T16:29:47-04:00,1060000,True
project_0,description_0,None,2018-04-22T13:32:00-04:00,2018-04-22T16:10:00-04:00,2018-04-22T16:29:35-04:00,9480000,True
project_1,description_1,None,2018-04-22T13:09:00-04:00,2018-04-22T13:26:00-04:00,2018-04-22T16:29:07-04:00,1020000,True
project_6,description_6,None,2018-04-22T12:31:00-04:00,2018-04-22T13:06:00-04:00,2018-04-22T16:28:37-04:00,2100000,True
project_6,description_20,None,2018-04-22T11:00:00-04:00,2018-04-22T12:24:00-04:00,2018-04-22T16:28:09-04:00,5040000,True
project_6,description_6,None,2018-04-22T10:36:00-04:00,2018-04-22T10:58:00-04:00,2018-04-22T16:27:39-04:00,1320000,True
project_2,description_2,None,2018-04-22T10:02:00-04:00,2018-04-22T10:34:00-04:00,2018-04-22T16:27:12-04:00,1920000,True
project_3,description_7,None,2018-04-22T09:02:06-04:00,2018-04-22T09:58:56-04:00,2018-04-22T09:58:57-04:00,3410000,True
project_3,description_3,None,2018-04-22T00:45:26-04:00,2018-04-22T01:11:27-04:00,2018-04-22T01:13:19-04:00,1561000,True
project_0,description_0,None,2018-04-21T20:00:06-04:00,2018-04-22T00:41:12-04:00,2018-04-22T01:12:51-04:00,16866000,True
project_1,description_1,None,2018-04-21T19:16:00-04:00,2018-04-21T19:58:35-04:00,2018-04-21T19:58:37-04:00,2555000,True
project_0,description_0,None,2018-04-21T15:52:00-04:00,2018-04-21T19:14:00-04:00,2018-04-21T20:59:06-04:00,12120000,True
project_2,description_2,None,2018-04-21T15:12:00-04:00,2018-04-21T15:47:27-04:00,2018-04-21T15:47:58-04:00,2127000,True
project_6,description_20,None,2018-04-21T14:12:00-04:00,2018-04-21T15:10:00-04:00,2018-04-21T15:47:51-04:00,3480000,True
project_0,description_0,None,2018-04-21T11:13:31-04:00,2018-04-21T14:06:00-04:00,2018-04-21T14:44:44-04:00,10349000,True
project_1,description_1,None,2018-04-21T10:48:00-04:00,2018-04-21T11:10:00-04:00,2018-04-21T14:40:51-04:00,1320000,True
project_6,description_6,None,2018-04-21T09:59:00-04:00,2018-04-21T10:41:00-04:00,2018-04-21T14:41:00-04:00,2520000,True
project_3,description_7,None,2018-04-21T09:05:16-04:00,2018-04-21T09:41:16-04:00,2018-04-21T09:41:16-04:00,2160000,False
project_3,description_3,None,2018-04-21T00:15:57-04:00,2018-04-21T00:45:58-04:00,2018-04-21T00:46:11-04:00,1801000,True
project_7,description_24,None,2018-04-20T23:30:37-04:00,2018-04-21T00:14:23-04:00,2018-04-21T00:14:26-04:00,2626000,True
project_3,description_3,None,2018-04-20T22:30:29-04:00,2018-04-20T23:29:30-04:00,2018-04-20T23:29:48-04:00,3541000,True
project_0,description_0,None,2018-04-20T21:41:32-04:00,2018-04-20T22:15:33-04:00,2018-04-20T23:29:40-04:00,2041000,True
project_3,description_3,None,2018-04-20T20:43:57-04:00,2018-04-20T21:40:13-04:00,2018-04-20T23:19:29-04:00,3376000,True
project_1,description_11,None,2018-04-20T19:20:34-04:00,2018-04-20T19:29:55-04:00,2018-04-20T19:29:55-04:00,561000,False
project_3,description_8,None,2018-04-20T18:13:44-04:00,2018-04-20T19:20:31-04:00,2018-04-20T19:20:32-04:00,4007000,True
project_7,description_12,None,2018-04-20T15:05:56-04:00,2018-04-20T18:13:41-04:00,2018-04-20T18:13:41-04:00,11265000,False
project_3,description_8,None,2018-04-20T14:10:37-04:00,2018-04-20T15:05:53-04:00,2018-04-20T15:05:54-04:00,3316000,True
project_1,description_1,None,2018-04-20T13:28:28-04:00,2018-04-20T14:10:35-04:00,2018-04-20T14:10:36-04:00,2527000,True
project_2,description_2,None,2018-04-20T11:48:44-04:00,2018-04-20T12:51:12-04:00,2018-04-20T12:51:12-04:00,3748000,False
project_3,description_3,None,2018-04-20T10:40:30-04:00,2018-04-20T11:47:06-04:00,2018-04-20T11:47:06-04:00,3996000,False
project_7,description_21,None,2018-04-20T01:03:09-04:00,2018-04-20T01:19:48-04:00,2018-04-20T01:19:50-04:00,999000,True
project_2,description_2,None,2018-04-20T00:48:49-04:00,2018-04-20T01:03:09-04:00,2018-04-20T01:03:11-04:00,860000,True
project_7,description_21,None,2018-04-19T23:07:31-04:00,2018-04-20T00:48:03-04:00,2018-04-20T00:48:03-04:00,6032000,False
project_7,description_22,None,2018-04-19T22:29:50-04:00,2018-04-19T22:53:22-04:00,2018-04-19T22:53:22-04:00,1412000,False
project_7,description_23,None,2018-04-19T21:30:49-04:00,2018-04-19T22:29:37-04:00,2018-04-19T22:29:37-04:00,3528000,False
project_0,description_10,None,2018-04-19T20:56:10-04:00,2018-04-19T21:30:11-04:00,2018-04-19T21:30:08-04:00,2041000,False
project_3,description_3,None,2018-04-19T19:59:15-04:00,2018-04-19T20:54:17-04:00,2018-04-19T21:19:22-04:00,3302000,True
project_1,description_1,None,2018-04-19T19:18:00-04:00,2018-04-19T19:56:51-04:00,2018-04-19T19:56:52-04:00,2331000,True
project_3,description_8,None,2018-04-19T18:41:49-04:00,2018-04-19T19:01:11-04:00,2018-04-19T19:01:11-04:00,1162000,False
project_5,description_9,None,2018-04-19T17:24:18-04:00,2018-04-19T18:41:46-04:00,2018-04-19T18:41:50-04:00,4648000,True
project_3,description_8,None,2018-04-19T17:03:05-04:00,2018-04-19T17:24:15-04:00,2018-04-19T17:24:16-04:00,1270000,True
project_0,description_10,None,2018-04-19T16:45:00-04:00,2018-04-19T16:59:52-04:00,2018-04-19T17:00:03-04:00,892000,True
project_1,description_1,None,2018-04-19T16:10:00-04:00,2018-04-19T16:44:00-04:00,2018-04-19T16:59:30-04:00,2040000,True
project_5,description_5,None,2018-04-19T14:55:55-04:00,2018-04-19T15:41:43-04:00,2018-04-19T15:41:47-04:00,2748000,True
project_0,description_10,None,2018-04-19T13:42:00-04:00,2018-04-19T14:46:56-04:00,2018-04-19T14:47:05-04:00,3896000,True
project_6,description_19,None,2018-04-19T13:30:45-04:00,2018-04-19T13:33:38-04:00,2018-04-19T13:33:38-04:00,173000,False
project_2,description_2,None,2018-04-19T12:51:22-04:00,2018-04-19T13:30:41-04:00,2018-04-19T13:30:44-04:00,2359000,True
project_3,description_3,None,2018-04-19T11:56:00-04:00,2018-04-19T12:46:00-04:00,2018-04-19T13:37:16-04:00,3000000,True
project_1,description_1,None,2018-04-19T11:39:00-04:00,2018-04-19T11:55:00-04:00,2018-04-19T13:36:02-04:00,960000,True
project_6,description_6,None,2018-04-19T10:59:00-04:00,2018-04-19T11:35:00-04:00,2018-04-19T13:35:37-04:00,2160000,True
project_6,description_6,None,2018-04-19T10:48:23-04:00,2018-04-19T12:51:27-04:00,2018-04-19T12:51:27-04:00,7384311,False
project_3,description_3,None,2018-04-19T09:43:00-04:00,2018-04-19T10:52:00-04:00,2018-04-19T13:34:31-04:00,4140000,True
project_3,description_7,None,2018-04-19T09:04:54-04:00,2018-04-19T09:40:47-04:00,2018-04-19T09:40:48-04:00,2153000,True
project_1,description_1,None,2018-04-18T19:51:41-04:00,2018-04-18T20:31:20-04:00,2018-04-18T20:31:21-04:00,2379000,True
project_3,description_3,None,2018-04-18T17:24:00-04:00,2018-04-18T19:51:29-04:00,2018-04-18T19:51:40-04:00,8849000,True
project_3,description_8,None,2018-04-18T16:31:37-04:00,2018-04-18T17:19:11-04:00,2018-04-18T17:19:12-04:00,2854000,True
project_7,description_12,None,2018-04-18T15:54:21-04:00,2018-04-18T16:30:49-04:00,2018-04-18T16:30:49-04:00,2188000,False
project_7,description_10,None,2018-04-18T15:27:34-04:00,2018-04-18T15:37:25-04:00,2018-04-18T15:37:26-04:00,591000,True
project_7,description_12,None,2018-04-18T14:09:21-04:00,2018-04-18T15:27:33-04:00,2018-04-18T15:27:33-04:00,4692000,False
project_7,description_18,None,2018-04-18T13:38:23-04:00,2018-04-18T14:09:19-04:00,2018-04-18T14:09:22-04:00,1856000,True
project_1,description_11,None,2018-04-18T12:43:41-04:00,2018-04-18T13:29:17-04:00,2018-04-18T13:29:18-04:00,2736000,True
project_7,description_25,None,2018-04-18T11:38:29-04:00,2018-04-18T12:31:37-04:00,2018-04-18T12:31:38-04:00,3188000,True
project_7,description_26,None,2018-04-18T11:06:47-04:00,2018-04-18T11:38:24-04:00,2018-04-18T11:38:24-04:00,1357000,False
project_2,description_2,None,2018-04-18T10:17:07-04:00,2018-04-18T11:05:11-04:00,2018-04-18T11:05:12-04:00,2884000,True
project_3,description_3,None,2018-04-18T09:41:10-04:00,2018-04-18T10:16:58-04:00,2018-04-18T10:16:58-04:00,2148000,False
project_3,description_7,None,2018-04-18T09:05:45-04:00,2018-04-18T09:41:02-04:00,2018-04-18T09:41:02-04:00,2117000,False
project_3,description_3,None,2018-04-18T00:52:32-04:00,2018-04-18T01:32:37-04:00,2018-04-18T01:32:37-04:00,2405000,False
project_7,description_27,None,2018-04-17T21:42:34-04:00,2018-04-18T00:42:52-04:00,2018-04-18T00:42:54-04:00,10818000,True
project_7,description_28,None,2018-04-17T21:33:44-04:00,2018-04-17T21:35:18-04:00,2018-04-17T21:35:19-04:00,94000,True
project_7,description_28,None,2018-04-17T20:32:28-04:00,2018-04-17T21:33:22-04:00,2018-04-17T21:33:24-04:00,3654000,True
project_3,description_3,None,2018-04-17T20:09:23-04:00,2018-04-17T20:27:24-04:00,2018-04-17T20:27:32-04:00,1081000,True
project_0,description_10,None,2018-04-17T19:44:59-04:00,2018-04-17T20:08:27-04:00,2018-04-17T20:08:29-04:00,1408000,True
project_3,description_3,None,2018-04-17T18:42:21-04:00,2018-04-17T19:44:56-04:00,2018-04-17T19:44:57-04:00,3755000,True
project_1,description_1,None,2018-04-17T18:05:16-04:00,2018-04-17T18:42:06-04:00,2018-04-17T18:42:07-04:00,2210000,True
project_0,description_29,None,2018-04-17T16:50:19-04:00,2018-04-17T18:05:11-04:00,2018-04-17T18:05:11-04:00,4492000,False
project_0,description_30,None,2018-04-17T16:39:42-04:00,2018-04-17T16:50:07-04:00,2018-04-17T16:50:11-04:00,625000,True
project_4,description_4,None,2018-04-17T16:22:00-04:00,2018-04-17T16:39:39-04:00,2018-04-17T16:39:39-04:00,1059000,False
project_8,description_31,None,2018-04-17T15:58:03-04:00,2018-04-17T16:22:09-04:00,2018-04-17T16:22:21-04:00,1446000,True
project_2,description_2,None,2018-04-17T14:55:46-04:00,2018-04-17T15:54:58-04:00,2018-04-17T15:54:58-04:00,3552000,False
project_6,description_19,None,2018-04-17T14:45:10-04:00,2018-04-17T14:55:45-04:00,2018-04-17T14:55:46-04:00,635000,True
project_3,description_3,None,2018-04-17T14:19:00-04:00,2018-04-17T14:44:13-04:00,2018-04-17T14:45:08-04:00,1513000,True
project_1,description_1,None,2018-04-17T13:44:00-04:00,2018-04-17T14:18:00-04:00,2018-04-17T14:45:05-04:00,2040000,True
project_6,description_6,None,2018-04-17T13:02:18-04:00,2018-04-17T13:43:00-04:00,2018-04-17T14:44:58-04:00,2442000,True
project_3,description_3,None,2018-04-17T12:30:00-04:00,2018-04-17T13:02:09-04:00,2018-04-17T13:02:15-04:00,1929000,True
project_3,description_7,None,2018-04-17T08:58:30-04:00,2018-04-17T12:28:00-04:00,2018-04-17T13:02:06-04:00,12570000,True
project_3,description_3,None,2018-04-17T00:15:35-04:00,2018-04-17T01:00:30-04:00,2018-04-17T20:08:42-04:00,2695000,True
project_6,description_20,None,2018-04-16T23:29:00-04:00,2018-04-17T00:09:00-04:00,2018-04-17T00:15:32-04:00,2400000,True
project_3,description_3,None,2018-04-16T21:40:00-04:00,2018-04-16T23:28:00-04:00,2018-04-17T00:15:24-04:00,6480000,True
project_1,description_1,None,2018-04-16T21:01:18-04:00,2018-04-16T21:21:02-04:00,2018-04-16T21:21:03-04:00,1184000,True
project_1,description_1,None,2018-04-16T20:27:00-04:00,2018-04-16T21:00:52-04:00,2018-04-16T21:01:05-04:00,2032000,True
project_3,description_3,None,2018-04-16T18:18:07-04:00,2018-04-16T19:45:13-04:00,2018-04-16T19:45:13-04:00,5226000,False
project_3,description_8,None,2018-04-16T17:29:00-04:00,2018-04-16T18:17:27-04:00,2018-04-16T20:00:15-04:00,2907000,True
project_1,description_11,None,2018-04-16T16:52:54-04:00,2018-04-16T17:27:00-04:00,2018-04-16T20:00:25-04:00,2046000,True
project_7,description_12,None,2018-04-16T14:18:23-04:00,2018-04-16T16:50:42-04:00,2018-04-16T16:52:41-04:00,9139000,True
project_3,description_8,None,2018-04-16T13:43:45-04:00,2018-04-16T14:18:17-04:00,2018-04-16T14:18:17-04:00,2072000,False
project_7,description_32,None,2018-04-16T13:23:43-04:00,2018-04-16T13:36:49-04:00,2018-04-16T13:37:07-04:00,786000,True
project_7,description_33,None,2018-04-16T09:37:30-04:00,2018-04-16T13:22:38-04:00,2018-04-16T13:37:01-04:00,13508000,True
project_2,description_2,None,2018-04-16T09:28:08-04:00,2018-04-16T09:37:30-04:00,2018-04-16T09:37:33-04:00,562000,True
project_7,description_33,None,2018-04-16T09:09:07-04:00,2018-04-16T09:28:01-04:00,2018-04-16T09:28:01-04:00,1134000,False
project_1,description_1,None,2018-04-16T08:51:38-04:00,2018-04-16T09:04:23-04:00,2018-04-16T09:04:25-04:00,765000,True
project_6,description_6,None,2018-04-16T08:21:12-04:00,2018-04-16T08:51:37-04:00,2018-04-16T08:51:37-04:00,1825000,False
project_2,description_2,None,2018-04-16T07:30:59-04:00,2018-04-16T08:21:11-04:00,2018-04-16T08:21:12-04:00,3012000,True
project_3,description_3,None,2018-04-16T00:26:00-04:00,2018-04-16T00:42:38-04:00,2018-04-16T00:42:46-04:00,998000,True
project_6,description_19,None,2018-04-16T00:10:10-04:00,2018-04-16T00:22:54-04:00,2018-04-16T00:23:18-04:00,764000,True
project_1,description_1,None,2018-04-15T23:45:28-04:00,2018-04-16T00:10:07-04:00,2018-04-16T00:23:16-04:00,1479000,True
project_7,description_34,None,2018-04-15T23:42:19-04:00,2018-04-15T23:45:21-04:00,2018-04-15T23:45:23-04:00,182000,True
project_7,description_87,None,2018-04-15T23:36:31-04:00,2018-04-15T23:41:57-04:00,2018-04-15T23:41:58-04:00,326000,True
project_6,description_6,None,2018-04-15T23:34:24-04:00,2018-04-15T23:36:29-04:00,2018-04-15T23:36:31-04:00,125000,True
project_7,description_87,None,2018-04-15T23:24:38-04:00,2018-04-15T23:34:06-04:00,2018-04-15T23:34:08-04:00,568000,True
project_6,description_6,None,2018-04-15T23:13:00-04:00,2018-04-15T23:23:16-04:00,2018-04-15T23:23:16-04:00,616000,False
project_6,description_19,None,2018-04-15T21:21:35-04:00,2018-04-15T23:12:36-04:00,2018-04-15T23:12:49-04:00,6661000,True
project_3,description_3,None,2018-04-15T20:32:43-04:00,2018-04-15T21:20:10-04:00,2018-04-15T21:20:11-04:00,2847000,True
project_7,description_35,None,2018-04-15T18:12:27-04:00,2018-04-15T20:25:49-04:00,2018-04-15T20:25:08-04:00,8002000,False
project_0,description_10,None,2018-04-15T17:56:26-04:00,2018-04-15T18:11:16-04:00,2018-04-15T18:11:17-04:00,890000,True
project_2,description_2,None,2018-04-15T17:36:52-04:00,2018-04-15T17:55:52-04:00,2018-04-15T18:08:19-04:00,1140000,True
project_6,description_20,None,2018-04-15T16:31:01-04:00,2018-04-15T17:35:01-04:00,2018-04-15T18:07:48-04:00,3840000,True
project_4,description_4,None,2018-04-15T15:47:00-04:00,2018-04-15T16:30:00-04:00,2018-04-15T18:06:37-04:00,2580000,True
project_3,description_3,None,2018-04-15T14:01:17-04:00,2018-04-15T14:50:17-04:00,2018-04-15T18:05:33-04:00,2940000,True
project_2,description_2,None,2018-04-15T13:16:17-04:00,2018-04-15T14:00:17-04:00,2018-04-15T18:04:15-04:00,2640000,True
project_1,description_1,None,2018-04-15T12:46:44-04:00,2018-04-15T13:15:44-04:00,2018-04-15T18:04:01-04:00,1740000,True
project_6,description_6,None,2018-04-15T12:00:04-04:00,2018-04-15T12:45:04-04:00,2018-04-15T18:03:30-04:00,2700000,True
project_6,description_19,None,2018-04-15T11:11:51-04:00,2018-04-15T12:00:51-04:00,2018-04-15T18:02:07-04:00,2940000,True
project_4,description_4,None,2018-04-15T10:46:26-04:00,2018-04-15T11:10:26-04:00,2018-04-15T18:01:47-04:00,1440000,True
project_3,description_7,None,2018-04-15T09:00:58-04:00,2018-04-15T10:45:58-04:00,2018-04-15T18:01:13-04:00,6300000,True
project_7,description_36,None,2018-04-15T00:26:45-04:00,2018-04-15T01:03:01-04:00,2018-04-15T01:03:01-04:00,1336000,False
project_7,description_37,None,2018-04-14T21:06:14-04:00,2018-04-15T00:25:38-04:00,2018-04-15T00:25:40-04:00,11964000,True
project_1,description_1,None,2018-04-14T20:08:39-04:00,2018-04-14T20:51:40-04:00,2018-04-14T20:51:57-04:00,2581000,True
project_0,description_29,None,2018-04-14T19:30:03-04:00,2018-04-14T20:04:07-04:00,2018-04-14T20:05:31-04:00,2044000,True
project_0,description_38,None,2018-04-14T17:50:11-04:00,2018-04-14T19:26:59-04:00,2018-04-14T19:27:02-04:00,5808000,True
project_6,description_20,None,2018-04-14T16:40:01-04:00,2018-04-14T17:48:01-04:00,2018-04-14T21:01:44-04:00,4080000,True
project_4,description_4,None,2018-04-14T12:37:31-04:00,2018-04-14T14:04:31-04:00,2018-04-14T20:58:58-04:00,5220000,True
project_1,description_11,None,2018-04-14T12:09:33-04:00,2018-04-14T12:35:00-04:00,2018-04-14T20:55:05-04:00,1527000,True
project_2,description_2,None,2018-04-14T10:32:05-04:00,2018-04-14T11:28:05-04:00,2018-04-14T20:57:34-04:00,3360000,True
project_4,description_4,None,2018-04-14T10:15:32-04:00,2018-04-14T10:30:32-04:00,2018-04-14T20:57:15-04:00,900000,True
project_3,description_3,None,2018-04-14T09:46:37-04:00,2018-04-14T10:15:37-04:00,2018-04-14T20:55:55-04:00,1740000,True
project_3,description_7,None,2018-04-14T09:03:00-04:00,2018-04-14T09:45:24-04:00,2018-04-14T09:45:34-04:00,2544000,True
project_3,description_3,None,2018-04-13T23:17:16-04:00,2018-04-14T01:04:47-04:00,2018-04-14T01:04:47-04:00,6451000,False
project_4,description_4,None,2018-04-13T22:53:56-04:00,2018-04-13T23:17:12-04:00,2018-04-13T23:17:14-04:00,1396000,True
project_4,description_4,None,2018-04-13T21:39:00-04:00,2018-04-13T22:53:32-04:00,2018-04-13T22:53:55-04:00,4472000,True
project_3,description_8,None,2018-04-13T21:14:00-04:00,2018-04-13T21:31:29-04:00,2018-04-13T21:31:37-04:00,1049000,True
project_5,description_9,None,2018-04-13T19:57:28-04:00,2018-04-13T21:14:00-04:00,2018-04-13T21:31:26-04:00,4592000,True
project_3,description_8,None,2018-04-13T19:39:12-04:00,2018-04-13T19:57:26-04:00,2018-04-13T19:57:27-04:00,1094000,True
project_3,description_3,None,2018-04-13T16:52:00-04:00,2018-04-13T19:23:00-04:00,2018-04-14T09:57:59-04:00,9060000,True
project_1,description_1,None,2018-04-13T16:21:00-04:00,2018-04-13T16:46:00-04:00,2018-04-14T09:56:55-04:00,1500000,True
project_6,description_6,None,2018-04-13T15:48:00-04:00,2018-04-13T16:16:00-04:00,2018-04-14T09:56:04-04:00,1680000,True
project_5,description_5,None,2018-04-13T15:11:55-04:00,2018-04-13T15:44:27-04:00,2018-04-13T15:44:29-04:00,1952000,True
project_2,description_2,None,2018-04-13T13:36:00-04:00,2018-04-13T15:06:00-04:00,2018-04-14T09:54:09-04:00,5400000,True
